44388458000020	TRANQUIL I.T. SYSTEMS	TRANQUIL I.T. SYSTEMS	Conseil en systèmes et logiciels informatiques	49	Saint-Sébastien-sur-Loire
75305003800037	LOGIROAD	LOGIROAD	Edition de logiciels applicatifs	49	La Chevrolière
77568873212140	CGM PAYS DE LOIRE	APF FRANCE HANDICAP	Services administratifs combinés de bureau		La Chapelle-sur-Erdre
79142876600020	AMARRIS IMMO	AMARRIS IMMO	Activités comptables		Saint-Herblain
45262598100140	4 CAD PLM	4 CAD PLM	Conseil en systèmes et logiciels informatiques	49	Bouguenais
42998754800162	DAWAN	DAWAN	Programmation informatique	99	Nantes
79018432900056	FIZEN	FIZEN	Édition de logiciels système et de réseau	9	Saint-Herblain
79067258800031	AKENEO	AKENEO	Edition de logiciels applicatifs	249	Nantes
80045609700032	MOBIAPPS	MOBIAPPS	Programmation informatique	99	Orvault
48377254700038	PALISSEA	GINGER MINDS	Conseil en systèmes et logiciels informatiques	49	Nantes
79325371700037	AVISIA OUEST	AVISIA OUEST	Conseil en systèmes et logiciels informatiques	49	Saint-Herblain
79328801000143	VISEO	VISEO	Conseil en systèmes et logiciels informatiques		Nantes
38444088900044	EXCO AVEC	EXCO AVEC	Activités comptables	99	Nantes
81476832100022	MR SURICATE	MR SURICATE	Programmation informatique	49	Nantes
40343177800055	ADOC SOLUTIONS	ADOC SOLUTIONS	Conseil en systèmes et logiciels informatiques	49	Bouguenais
80813014000045	VYV ECOUTE & SOLUTIONS		Conseil pour les affaires et autres conseils de gestion		Vertou
81196279400046	SYD APPS	SYD APPS	Conseil en systèmes et logiciels informatiques	49	Saint-Herblain
82262022500018	KEREIS SERVICES	KEREIS SERVICES	Conseil en systèmes et logiciels informatiques	249	Saint-Herblain
48060951000056	SD20	SD20	Edition de logiciels applicatifs	19	Vertou
39513965200097	KERSEA	KERSEA	Transports maritimes et côtiers de passagers	19	Nantes
81499447100039	EPSIGHT	EPSIGHT	Autres activités informatiques		Nantes
81772368700122	EY & ASSOCIES	EY & ASSOCIES	Activités comptables	199	Nantes
82887169900033	HERA-MI	HERA-MI	Conseil en systèmes et logiciels informatiques	49	Saint-Herblain
40315426300038	GROUPE LACOUR	LACOUR CONCEPT	Édition de logiciels système et de réseau	49	Montaigu-Vendée
35142130000036	ARPEGE	ARPEGE	Edition de logiciels applicatifs	499	Saint-Sébastien-sur-Loire
82501589400033	WEMOOV	WEMOOV	Programmation informatique	19	Carquefou
82509817100036	ELEPHANT TECHNOLOGIES	ELEPHANT TECHNOLOGIES	Conseil en systèmes et logiciels informatiques		Nantes
83747207500014	CADRES EN MISSION & CO	CADRES EN MISSION & CO	Autres activités de soutien aux entreprises n.c.a.		Nantes
53752632900033	CONSEPT SERVICES	CONSEPT SERVICES	Conseil en systèmes et logiciels informatiques	19	Nantes
82895279600021	UMR	UMR	Assurance vie		Nantes
51351906600049	INOVAXO	INOVAXO	Programmation informatique	99	Nantes
